PCR/AVR7,感染者/AVR7
812.857142857143,25.2857142857143
808.428571428571,30.7142857142857
810.428571428571,33.2857142857143
988,35
500.714285714286,40.4285714285714
489.714285714286,43.1428571428572
654.857142857143,46.5714285714286
698.571428571429,43.8571428571429
692.857142857143,46.1428571428572
683.142857142857,46
793,44.4285714285714
761.428571428572,43
984.857142857143,41.1428571428572
969.142857142857,38.4285714285714
863.428571428572,40.2857142857143
861.285714285714,36.1428571428571
869,37.5714285714286
1123.14285714286,40.8571428571429
1142.28571428571,43.8571428571429
941.142857142857,51.5714285714286
949.714285714286,60.1428571428571
1138.71428571429,67.4285714285714
1167.85714285714,90.2857142857143
1183.57142857143,109
1129.14285714286,113.142857142857
1354.42857142857,135.285714285714
1306.28571428571,150.428571428571
1717.71428571429,170.285714285714
1983.85714285714,198.857142857143
1980.28571428571,220.571428571429
1982,249.857142857143
2609.85714285714,275.714285714286
2985.57142857143,294.428571428571
3183.14285714286,337.285714285714
2919.71428571429,386.428571428571
3142.71428571429,436.714285714286
3267,489.285714285714
3235.85714285714,490.428571428572
3492,520
3360.57142857143,538.142857142857
3934.42857142857,550.428571428571
4239.28571428572,557.285714285714
4151.28571428572,540.833333333333
